date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:23	80077/80077	---M--	200	added ('OK')	image/jpeg	etag:%22138cd-5b9a06c6-6c230e9467fcc3e1;;;%22	https://demo.themewinter.com/html/vinazine/images/news/tech/tech4.jpg	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/images/news/tech/tech4.jpg	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:23	43436/43436	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/category-2.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/category-2.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:24	71156/71156	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/category-3.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/category-3.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:24	66678/66678	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2010:03:56%20GMT	https://demo.themewinter.com/html/vinazine/category-4.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/category-4.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:24	47319/47319	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/category-5.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/category-5.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:24	43681/43681	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/category-6.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/category-6.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:24	53241/53241	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:12:16%20GMT	https://demo.themewinter.com/html/vinazine/single-post-1.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-1.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:25	50935/50935	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2010:08:52%20GMT	https://demo.themewinter.com/html/vinazine/single-post-2.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-2.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:25	50858/50858	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2010:11:18%20GMT	https://demo.themewinter.com/html/vinazine/single-post-3.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-3.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:25	50998/50998	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Sep%202018%2008:28:32%20GMT	https://demo.themewinter.com/html/vinazine/single-post-4.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-4.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:25	39959/39959	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2009:26:52%20GMT	https://demo.themewinter.com/html/vinazine/single-post-5.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-5.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:26	50596/50596	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2010:14:22%20GMT	https://demo.themewinter.com/html/vinazine/single-post-6.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-6.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:26	49628/49628	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2010:17:54%20GMT	https://demo.themewinter.com/html/vinazine/single-post-7.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/single-post-7.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
